PlayerName,Black Ink,Gray Ink,HoF Standards
Ernie Lombardi*,8,27,83
Harry Lumley,8,34,60
Rafael Palmeiro,8,57,183
George Pinkney,8,51,48
Dave Robertson,8,56,46
Jackie Robinson*,8,38,121
Pete Runnels,8,25,64
Hank Sauer,8,27,73
George Scott,8,51,97
Roy Sievers,8,23,118
Gorman Thomas,8,61,60
Cesar Tovar,8,28,67
George Van Haltren,8,51,121
John Ward*,8,28,91
Zack Wheat*,8,48,227
Roy White,8,23,73
Matt Williams,8,29,58
George Wright*,8,51,130
Gus Zernial,8,18,58
Dutch Zwilling,8,20,40
Michael Bourn,7,36,30
Norm Cash,7,29,104
Starlin Castro,7,19,24
Phil Cavarretta,7,23,73
Frank Chance*,7,19,73
Earle Combs*,7,37,78
Joe Cronin*,7,27,102
Josh Donaldson,7,24,58
Dave Eggler,7,56,37
Jacoby Ellsbury,7,38,47
Freddie Freeman,7,18,71
Carlos Gonzalez,7,22,47
Chick Hafey*,7,24,79
Tommy Harper,7,18,55
Dick Higham,7,18,54
Arlie Latham,7,25,71
Ron LeFlore,7,41,62
Herman Long,7,41,75
Whit Merrifield,7,20,24
Omar Moreno,7,42,40
Daniel Murphy,7,24,45
John O'Rourke,7,28,36
John Olerud,7,28,51
Tony Phillips,7,20,42
Hanley Ramirez,7,36,74
Pee Wee Reese*,7,39,102
Grady Sizemore,7,61,38
Darryl Strawberry,7,30,100
Tommy Tucker,7,18,41
Dick Wakefield,7,18,59
Chief Wilson,7,25,71
Tony Womack,7,20,24
Christian Yelich,7,20,44
John Anderson,6,28,75
Earl Averill*,6,24,145
Sal Bando,6,25,85
Beau Bell,6,47,32
Bobby Bonds,6,30,132
Babe Borton,6,79,26
Ellis Burks,6,42,45
Jeff Burroughs,6,25,64
Cupid Childs,6,43,75
Jimmy Collins*,6,19,128
Johnny Damon,6,23,77
Steve Evans,6,23,55
Carl Furillo,6,60,75
Jack Graney,6,20,29
Dick Groat,6,18,53
Vladimir Guerrero*,6,59,166
Johnny Hodapp,6,23,31
Bid McPhee*,6,43,64
Sam Mertes,6,21,73
Clyde Milan,6,23,79
Buddy Myer,6,41,45
Candy Nelson,6,58,34
Ivy Olson,6,22,24
Magglio Ordonez,6,42,86
Amos Otis,6,27,91
Bobby Richardson,6,30,48
Brian Roberts,6,23,45
Yank Robinson,6,31,26
Joe Rudi,6,27,49
Freddy Sanchez,6,18,51
Socks Seybold,6,22,85
Garry Templeton,6,22,35
Jack Tobin,6,20,84
Hal Trosky,6,30,108
Andy Van Slyke,6,19,44
Walt Wilmot,6,20,44
Bobby Abreu,5,30,88
Sparky Adams,5,19,32
Bobby Avila,5,30,52
Jimmy Barrett,5,19,43
Eddie Brown,5,29,32
Bobby Byrne,5,30,34
Chris Carter,5,19,36
Vinny Castilla,5,25,73
Ray Chapman,5,25,41
Hub Collins,5,19,42
Al Dark,5,21,71
Bobby Doerr*,5,30,128
Buck Ewing*,5,21,97
Frank Fennelly,5,19,59
Curt Flood,5,25,58
Eddie Foster,5,29,35
Julio Franco,5,21,59
Luis Gonzalez,5,48,57
Mike Griffin,5,41,40
Marquis Grissom,5,26,40
Pedro Guerrero,5,29,84
George Hall,5,51,84
Von Hayes,5,19,43
Tommy Henrich,5,18,80
Charlie Hollocher,5,30,36
Brian Hunter,5,23,57
Francisco Lindor,5,23,32
John Mayberry,5,28,71
Jim McTamany,5,30,40
Dale Mitchell,5,34,36
Justin Morneau,5,22,40
Johnny Ray,5,23,33
Anthony Rendon,5,19,28
Juan Samuel,5,18,57
Orator Shafer,5,42,65
Spike Shannon,5,19,29
Burt Shotton,5,26,59
Denard Span,5,25,27
Joe Start,5,27,102
Harry Walker,5,34,210
Vernon Wells,5,19,40
Tom York,5,18,106
Ross Youngs*,5,32,115
Bob Allison,4,24,100
Pedro Alvarez,4,29,194
Garret Anderson,4,33,51
Javier Baez,4,31,42
Jesse Barfield,4,56,35
Harry Bay,4,34,25
Fred Beck,4,25,131
George Bell,4,51,68
Bret Boone,4,27,39
