Name,GrayInk,BlackInk,HoF_Monitor,HoF_Standards
John Lackey+,82,8,48,28
Joe Dobson,82,0,22,17
Hal Schumacher,82,2,44,21
Freddy Garcia,82,7,38,23
Darryl Kile,82,1,31,12
Terry Larkin,81,0,38,21
Mike Moore,81,4,32,14
Matt Cain+,81,3,26,14
Kevin Millwood,81,9,34,20
Dutch Ruether,81,3,39,17
Whit Wyatt,80,11,41,0
Russ Ford,80,10,40,25
Derek Lowe,80,11,51,19
Brandon Webb,80,17,36,19
Tommy Thomas,79,6,13,0
Jim Scott,79,2,35,18
Harry Howell,79,2,35,20
Bob Ewing,79,0,33,21
Asa Brainard,79,0,0,0
Willis Hudlin,78,0,17,0
Rip Sewell,78,9,42,21
Johnny Cueto+,78,13,39,26
Gerry Staley,78,6,29,14
Frank Killen,78,18,58,17
Elden Auker,78,3,22,10
Bob Turley,78,21,63,14
Vean Gregg,77,6,30,21
Stump Weidman,77,7,22,0
Shane Reynolds,77,4,18,12
Ralph Terry,77,13,42,12
Pat Hentgen,77,13,37,12
Lefty Tyler,77,2,39,18
Burt Hooton,77,0,41,22
Alex Fernandez,77,0,12,13
Casey Patten,76,3,14,11
Bob Veale,76,4,32,21
Bob Knepper,76,2,20,15
Ramon Martinez,75,3,31,22
Matt Kilroy,75,22,67,16
Larry Benton,75,12,21,0
Danny MacFayden,75,0,0,0
Chris Short,75,0,31,15
Bruce Hurst,75,3,31,19
Jake Weimer,74,2,32,26
Jack Lynch,73,2,35,12
Babe Ruth*,73,10,43,34
George Pipgras,72,9,31,10
Frank Dwyer,72,3,48,18
Ewell Blackwell,72,13,39,10
Sam Weaver,71,2,23,13
Rube Benton,71,4,29,17
Ray Caldwell,71,0,26,17
Mark Mulder,71,10,33,17
Livan Hernandez,71,15,41,16
Josh Beckett+,71,4,43,23
Frank Sullivan,71,10,16,0
Win Mercer,70,6,23,0
Toad Ramsey,70,11,77,16
Max Lanier,70,4,35,17
Cy Falkenberg,70,10,41,20
Carl Erskine,70,3,48,18
Tully Sparks,69,0,33,18
Tim Wakefield,69,0,30,26
Red Donahue,69,2,41,16
John Candelaria,69,9,39,33
George Suggs,69,2,24,13
Dupee Shaw,69,0,41,14
Cy Morgan,69,2,20,16
Bill Monbouquette,69,2,20,10
Ned Garver,68,4,11,0
Fred Hutchinson,68,8,13,14
Chick Fraser,68,0,26,15
Charles Nagy,68,0,35,11
Bill Gullickson,68,7,18,20
Bill Bernhard,68,5,30,21
Tim Belcher,67,4,22,12
Red Ehret,67,1,36,0
Jeff Fassero,67,1,21,10
Jack Sanford,67,8,37,18
Jack Manning,67,3,13,21
Hugh Daily,67,4,39,13
Howie Pollet,67,16,33,13
Cliff Melton,67,3,16,10
Sonny Siebert,66,0,20,23
Ken Holtzman,66,0,62,24
Jumbo McGinnis,66,0,34,20
Jason Schmidt,66,9,41,18
Bob Purkey,66,3,36,14
Billy Rhines,66,10,31,10
Andy Benes,66,4,18,19
Togie Pittinger,65,0,27,11
Rick Porcello+,65,5,26,16
Mike Caldwell,65,2,28,11
Johnny Podres,65,8,46,19
Joe Coleman,65,0,29,15
Jack Scott,65,3,14,0
Bill Stearns,65,2,0,10
Tom Browning,64,4,27,16
Mike Witt,64,0,20,0
Scott McGregor,63,2,37,16
Ralph Branca,63,4,27,11
Mike McCormick,63,8,30,13
Johnny Rigney,63,0,0,0
Gio Gonzalez+,63,4,26,18
Doyle Alexander,63,3,23,24
Dan Casey,63,5,27,11
Bronson Arroyo+,63,6,15,15
Bill Singer,63,0,27,15
Ben Sanders,63,3,17,11
Al Benton,63,5,17,0
Tom Candiotti,62,2,12,17
Teddy Higuera,62,0,23,17
Mark Gubicza,62,4,18,10
Lee Richmond,62,4,30,12
Kid Gleason,62,3,42,0
Jimmy Ring,62,0,12,0
Jim Tobin,62,7,11,0
Jim Devlin,62,18,45,22
Hank Borowy,62,4,42,14
Steve Gromek,61,4,18,16
Sid Fernandez,61,9,21,21
Ron Darling,61,1,26,15
Doc Crandall,61,0,25,24
Carlos Carrasco+,61,6,16,15
Bill Hallahan,61,12,34,0
A.J. Burnett+,61,9,29,20
Scott Erickson,60,11,24,0
R.A. Dickey+,60,13,25,11
Mike Flanagan,60,6,48,17
Jon Lieber,60,9,15,14
Jake Arrieta+,60,12,41,20
Gerrit Cole+,60,2,26,23
Denny Neagle,60,8,30,16
Phil Douglas,59,8,25,15
Pedro Ramos,59,2,0,10
Nick Altrock,59,0,31,18
Lefty Williams,59,0,26,23
John Tudor,59,0,37,26
Henry Boyle,59,4,25,13
Harry Coveleski,59,1,25,27
Frank Owen,59,0,25,21
Ellis Kinder,59,12,17,15
Tom Zachary,58,0,32,15
Tom Gordon,58,3,44,15
Ned Garvin,58,0,0,15
Johnny Schmitz,58,6,14,0
Eddie Smith,58,0,0,0
Bobby Shantz,58,13,52,16
Stephen Strasburg+,57,5,29,32
