Player	HoF_Monitor	HoF_Standards	BlackInk	GrayInk
Eddie Collins*	250	71	19	271
Eddie Mathews*	162	54	16	183
Eddie Miller	23	0	2	29
Eddie Murray*	155	56	11	181
Eddie Robinson	22	0	0	53
Eddie Stanky	27	27	9	36
Eddie Yost	38	29	20	74
Edgar Martinez*	132	50	20	107
Edgar Renteria	109	38	0	0
Edgardo Alfonzo	28	21	0	0
Edwin Encarnacion	53	28	4	83
Ellis Burks	52	42	6	45
Elmer Flick*	65	31	23	179
Elston Howard	83	22	0	27
Elvis Andrus	28	22	0	41
Ender Inciarte	17	0	1	0
Enos Slaughter*	90	41	12	161
Eric Chavez	29	25	2	0
Eric Davis	25	27	0	61
Eric Hosmer	17	0	1	37
Eric Karros	30	17	1	26
Eric Young	19	25	3	39
Ernie Banks*	170	46	26	167
Ernie Lombardi*	133	42	8	83
Ernie Orsatti	21	0	0	0
Ernie Whitt	22	27	0	0
Evan Longoria	39	25	1	50
Evar Swanson	20	0	0	0
Everett Scott	29	0	2	0
Felipe Alou	46	20	11	49
Felix Millan	24	0	1	0
Fernando Vina	21	19	0	0
Ferris Fain	34	20	10	38
Fielder Jones	33	23	0	61
Francisco Lindor	35	0	5	32
Frank Chance*	22	24	7	73
Frank Demaree	34	19	0	48
Frank Howard	61	26	17	121
Frank LaPorte	19	0	4	27
Frank Malzone	30	0	2	62
Frank McCormick	86	18	17	120
Frank Robinson*	223	66	35	320
Frank Schulte	40	0	16	94
Frank Snyder	45	22	0	0
Frank Thomas	21	0	0	45
Frank Thomas*	21	60	21	45
Frank White	81	19	0	0
Frankie Crosetti	58	23	4	32
Frankie Frisch*	185	60	12	131
Frankie Hayes	36	30	1	0
Fred Clarke*	86	50	8	153
Fred Dunlap	34	0	19	84
Fred Lynn	85	33	15	69
Fred McGriff	100	48	9	105
Fred Tenney	37	25	4	55
Freddie Freeman	35	22	7	71
Freddie Lindstrom*	56	26	3	57
Freddie Patek	18	18	3	28
Freddy Leach	22	0	0	0
Freddy Sanchez	34	0	6	0
Gabby Hartnett*	121	48	0	69
Garret Anderson	74	33	4	51
Garrett Atkins	18	0	0	0
Garry Maddox	25	0	0	29
Garry Templeton	59	22	6	35
Gary Carter*	135	41	4	75
Gary Gaetti	52	30	1	31
Gary Matthews	20	29	3	41
Gary Sheffield	158	61	4	123
Gavvy Cravath	50	23	46	110
Gee Walker	36	23	0	57
Gene Alley	20	0	0	0
Gene DeMontreville	18	0	2	25
Gene Woodling	24	21	0	33
Geoff Jenkins	19	19	0	0
George Bell	54	19	4	68
George Brett*	211	61	39	159
George Burns	64	27	33	165
George Burns	64	27	33	165
George Case	48	0	15	53
George Davis*	81	54	4	108
George Foster	92	27	26	119
George Gore	57	31	19	125
George Grantham	36	31	0	39
George Hall	20	23	5	84
George Harper	18	23	0	38
George Hendrick	31	23	0	68
George Kell*	90	29	16	93
George McQuinn	39	0	1	48
George Pinkney	23	0	8	48
George Scott	44	20	8	97
George Selkirk	29	23	0	0
George Sisler*	200	44	29	198
George Springer	22	0	0	0
George Stone	29	0	11	91
George Van Haltren	108	51	8	121
George Wood	19	0	4	76
George Wright*	17	0	8	130
Giancarlo Stanton	68	26	21	70
Gil Hodges	83	32	2	128
Gil McDougald	54	21	1	0
Ginger Beaumont	68	25	22	114
Glenn Beckert	20	0	3	28
Glenn Wright	33	27	2	36
Goose Goslin*	159	61	10	200
Gorman Thomas	35	0	8	60
Grady Sizemore	34	0	7	38
Graig Nettles	63	31	4	56
Greg Luzinski	53	26	4	99
Greg Vaughn	51	25	0	0
Gregg Jefferies	19	17	2	25
Gus Bell	40	20	2	66
Gus Mancuso	35	24	0	0
Gus Suhr	22	0	3	54
Gus Zernial	28	18	8	58
Hack Miller	24	23	0	0
Hack Wilson*	102	39	31	110
Hal Chase	26	18	12	118
Hal McRae	49	24	9	87
Hal Morris	23	18	0	0
Hal Trosky	77	30	6	108
Hank Aaron*	421	75	76	408
Hank Bauer	27	0	1	31
Hank Blalock	18	0	0	0
Hank Greenberg*	188	46	46	171
Hank Leiber	29	0	0	44
Hank Sauer	45	23	8	73
Hank Severeid	25	27	0	0
Hanley Ramirez	64	36	7	74
Hardy Richardson	45	31	16	122
Harlond Clift	40	29	2	70
Harmon Killebrew*	178	46	48	193
Harold Baines*	67	44	3	40
Harold Reynolds	22	0	4	28
Harry Danning	25	0	0	0
Harry Davis	47	17	34	134
Harry Heilmann*	192	57	25	241
Harry Hooper*	39	34	0	116
Harry Steinfeldt	20	0	9	65
Harry Stovey	86	34	56	210
Harry Walker	24	0	5	0
Harvey Hendrick	21	18	0	0
Harvey Kuenn	100	27	25	98
Heinie Groh	24	24	14	90
Heinie Manush*	137	46	15	142
Heinie Reitz	18	0	1	0
Heinie Zimmerman	49	20	28	123
Henry Larkin	43	24	4	108
Herman Long	88	41	7	75
Hi Myers	17	0	9	52
Hideki Matsui	37	21	3	31
High Pockets Kelly*	48	22	13	79
Home Run Baker*	81	33	26	196
Honus Wagner*	313	75	105	367
Hoot Evers	25	0	1	27
Howard Johnson	41	21	11	64
Hub Collins	25	0	5	42
Hugh Duffy*	155	55	35	143
Hughie Jennings*	88	35	0	61
Hunter Pence	24	20	3	53
Ian Kinsler	52	32	1	55
Ichiro Suzuki	235	44	43	142
Ike Boone	21	27	0	0
Irish Meusel	61	26	4	113
Ival Goodman	20	0	2	39
Ivan Rodriguez*	226	59	0	37
J.D. Drew	20	26	0	0
J.D. Martinez	45	21	4	43
J.J. Hardy	18	19	0	0
Jack Barry	28	0	0	0
Jack Clark	28	35	9	87
Jack Doyle	24	27	0	31
Jack Fournier	47	29	10	136
Jack Glasscock	56	32	11	64
Jack Tobin	55	26	6	84
Jackie Jensen	56	25	15	147
Jackie Robinson*	98	38	8	121
Jacoby Ellsbury	36	0	7	47
Jake Beckley*	84	50	1	167
Jake Daubert	71	27	12	86
Jake Stenzel	66	32	2	48
Jason Bay	47	21	1	42
Jason Giambi	108	44	13	115
Jason Kendall	108	38	0	26
Jason Thompson	19	0	0	42
Jason Varitek	54	31	0	0
Javier Baez	16	0	4	0
Javy Lopez	67	35	0	26
Jay Bell	31	30	0	32
Jay Bruce	29	18	0	43
Jay Buhner	35	26	0	31
Jayson Werth	19	23	2	36
Jean Segura	25	0	4	32
Jeff Bagwell*	150	59	24	157
Jeff Blauser	34	23	0	0
Jeff Burroughs	35	19	6	64
Jeff Cirillo	37	23	0	38
Jeff Conine	22	23	1	0
Jeff Heath	29	27	2	81
Jeff Kent	123	51	0	71
Jermaine Dye	49	25	0	36
Jeromy Burnitz	34	23	0	28
Jerry Coleman	18	0	0	0
Jerry Grote	27	22	0	0
Jesse Barfield	21	18	4	35
Jesse Burkett*	191	56	31	174
Jhonny Peralta	34	24	0	0
Jim Bottomley*	99	42	21	145
Jim Edmonds	89	39	0	60
Jim Fregosi	21	21	1	51
Jim Gentile	34	0	4	36
Jim Gilliam	42	25	3	68
Jim Hegan	71	21	0	0
Jim Lemon	17	0	1	40
Jim O'Rourke*	85	49	27	291
Jim Rice*	147	43	33	176
Jim Sundberg	87	24	0	0
Jim Thome*	156	57	13	118
Jim Wynn	36	30	4	94
Jimmie Foxx*	314	72	59	257
Jimmie Wilson	45	26	0	0
Jimmy Bannon	31	26	0	0
Jimmy Collins*	43	26	6	128
Jimmy Dykes	27	30	1	0
Jimmy Johnston	30	18	1	46
Jimmy Rollins	121	42	14	82
Jimmy Ryan	83	48	12	120
Jimmy Sheckard	44	29	19	124
Jimmy Williams	27	19	3	95
Joe Adcock	22	22	0	56
Joe Carter	87	32	9	103
