Season,Name,Team,PA,WAR,playerid
1952,Jackie Robinson,Dodgers,636,7.8,1011070
2011,Dustin Pedroia,Red Sox,731,7.8,8370
2006,Carlos Beltran,Mets,617,7.8,589
1949,Ralph Kiner,Pirates,667,7.8,1006923
1980,Rickey Henderson,Athletics,722,7.8,194
1999,Jeff Bagwell,Astros,729,7.8,547
1972,Cesar Cedeno,Astros,625,7.8,1002100
1938,Hank Greenberg,Tigers,681,7.8,1004996
1898,John McGraw,Orioles,652,7.8,1008542
2001,Alex Rodriguez,Rangers,732,7.8,1274
1943,Luke Appling,White Sox,677,7.8,1000284
1979,Dave Winfield,Padres,686,7.8,1014127
1954,Minnie Minoso,White Sox,675,7.8,1008984
1955,Ernie Banks,Cubs,646,7.8,1000512
1994,Jeff Bagwell,Astros,479,7.8,547
2004,Albert Pujols,Cardinals,692,7.8,1177
2001,Bret Boone,Mariners,690,7.8,1067
1916,Ty Cobb,Tigers,636,7.8,1002378
1991,Barry Bonds,Pirates,634,7.8,1109
1988,Mike Greenwell,Red Sox,693,7.8,1005006
1985,Pedro Guerrero,Dodgers,581,7.8,1005120
1981,Mike Schmidt,Phillies,434,7.8,1011586
1952,Stan Musial,Cardinals,676,7.8,1009405
1973,Bobby Grich,Orioles,700,7.8,1005033
1929,Babe Ruth,Yankees,587,7.8,1011327
1896,Joe Kelley,Orioles,627,7.8,1006776
1996,Jeff Bagwell,Astros,719,7.7,547
1978,Jim Rice,Red Sox,746,7.7,1010897
1986,Wade Boggs,Red Sox,693,7.7,1001124
1893,Ed Delahanty,Phillies,652,7.7,1003155
1995,Barry Bonds,Giants,635,7.7,1109
1939,Johnny Mize,Cardinals,670,7.7,1009014
1961,Al Kaline,Tigers,665,7.7,1006678
1930,Babe Herman,Robins,699,7.7,1005691
2005,Albert Pujols,Cardinals,700,7.7,1177
1896,Ed Delahanty,Phillies,574,7.7,1003155
1940,Hank Greenberg,Tigers,670,7.7,1004996
1967,Roberto Clemente,Pirates,632,7.7,1002340
1917,Ray Chapman,Indians,691,7.7,1002151
1920,Joe Jackson,White Sox,649,7.7,1006301
1983,Wade Boggs,Red Sox,685,7.7,1001124
2008,Lance Berkman,Astros,665,7.7,548
1955,Duke Snider,Dodgers,653,7.7,1012230
1906,Frank Chance,Cubs,574,7.7,1002131
2000,Jason Giambi,Athletics,664,7.7,818
1953,Roy Campanella,Dodgers,590,7.7,1001871
1965,Ron Santo,Cubs,704,7.7,1011447
2007,Albert Pujols,Cardinals,679,7.7,1177
1960,Eddie Mathews,Braves,671,7.7,1008236
1950,Eddie Stanky,Giants,691,7.7,1012406
1935,Mel Ott,Giants,683,7.7,1009904
2007,Chase Utley,Phillies,613,7.7,1679
1969,Sal Bando,Athletics,734,7.7,1000505
1977,Dave Parker,Pirates,706,7.7,1010000
1987,Alan Trammell,Tigers,668,7.7,1013157
