Season,Name,Team,PA,WAR,playerid
2011,Julio Borbon,Rangers,98,0,3209
1908,Hippo Vaughn,Highlanders,1,0,1013384
1953,Jim Pearce,Senators,1,0,1010106
1983,Tom Gorman,Mets,5,0,1004887
1959,Mike Cuellar,Redlegs,1,0,1002853
1959,Don Rudolph,Redlegs,1,0,1011285
1943,Paul Calvert,Indians,1,0,1001854
2006,Victor Zambrano,Mets,6,0,1237
1982,Marshall Edwards,Brewers,189,0,1003690
1952,Phil Haugstad,Reds,1,0,1005500
1941,George Washburn,Yankees,1,0,1013649
1996,Dave Mlicki,Mets,11,0,569
1906,Bill McCarthy,Beaneaters,1,0,1008367
1997,Curtis Leskanic,Rockies,1,0,694
1997,Steve Reed,Rockies,1,0,1053
1997,Jeff McCurry,Rockies,1,0,1008440
1962,Don Williams,Athletics,1,0,1013992
1958,Tom Brewer,Red Sox,89,0,1001409
1971,Gene Hiser,Cubs,34,0,1005857
1914,Steamboat Williams,Cardinals,1,0,1014038
2001,Jose Jimenez,Rockies,1,0,435
2001,Todd Belitz,Rockies,1,0,1000793
1940,Charlie Wagner,Red Sox,5,0,1013480
2002,Kent Mercker,Rockies,1,0,439
2002,Cory Vance,Rockies,1,0,1647
1955,Don Ferrarese,Orioles,1,0,1004005
1913,Bill Steen,Naps,47,0,1012454
1905,Ollie Johns,Reds,6,0,1006488
1958,Herb Score,Indians,13,0,1011671
1940,Paul Masterson,Phillies,1,0,1008228
1952,Vern Fear,Cubs,1,0,1003964
1986,Rusty Tillman,Athletics,42,0,1013068
1914,Pete Fahrer,Reds,1,0,1003900
1987,Brad Wellman,Dodgers,4,0,1013765
1967,Chris Zachary,Astros,11,0,1014404
1871,Frank Norton,Olympics,1,0,1009646
1916,Stan Baumgartner,Phillies,1,0,1000690
1916,Ben Tincup,Phillies,1,0,1013073
2008,Josh Fogg,Reds,26,0,989
1977,Mike Davey,Braves,1,0,1003020
1977,Joey McLaughlin,Braves,1,0,1008614
1890,Ed Eiteljorge,Colts,1,0,1003720
1890,Ossie France,Colts,1,0,1004290
1974,Tom Underwood,Phillies,1,0,1013281
1974,Eddie Watt,Phillies,1,0,1013684
1936,Jake Mooty,Reds,1,0,1009135
1882,Tug Thompson,Red Stockings,5,0,1013030
1911,Howard Armstrong,Athletics,1,0,1000312
1913,Jim Hanley,Yankees,1,0,1005312
1913,Chet Hoff,Yankees,1,0,1005898
1891,Joe Burke,Kelly's Killers,4,0,1001684
1902,Martin Glendon,Reds,1,0,1004776
1996,Phil Hiatt,Tigers,23,0,1005763
2018,Rio Ruiz,Braves,15,0,14103
1917,Doc Waldbauer,Senators,1,0,1013503
1961,Gary Dotter,Twins,1,0,1003426
1961,Lee Stange,Twins,1,0,1012400
1910,Frank Barberich,Red Sox,1,0,1000528
1910,Louis Leroy,Red Sox,1,0,1007554
1895,Jack Wadsworth,Colonels,5,0,1013475
1957,Chuck Churn,Pirates,1,0,1002228
1957,Dick Hall,Pirates,1,0,1005241
1916,Grover Lowdermilk,Indians,19,0,1007784
2013,Felix Hernandez,Mariners,6,0,4772
1957,Joe Presko,Tigers,1,0,1010522
1957,John Tsitouris,Tigers,1,0,1013208
1946,Emmett O'Neill,White Sox,1,0,1009807
1960,Ed Bauta,Cardinals,1,0,1000693
1959,Ted Bowsfield,Red Sox,1,0,1001273
1959,Herb Moford,Red Sox,1,0,1009028
1945,Armando Roche,Senators,1,0,1011086
1998,Mike Figga,Yankees,4,0,1004034
1959,Bob Blaylock,Cardinals,1,0,1001064
1959,Tom Hughes,Cardinals,1,0,1006167
1959,Bill Smith,Cardinals,1,0,1012096
1959,Jack Urban,Cardinals,1,0,1013297
1987,Mike Sharperson,- - -,142,0,1011809
1952,Marion Fricano,Athletics,1,0,1004348
1952,Walt Kellner,Athletics,1,0,1006786
1996,Garvin Alston,Rockies,1,0,1000182
1996,Ryan Hawblitzel,Rockies,1,0,1005508
1996,Mike Munoz,Rockies,1,0,1009328
1996,David Nied,Rockies,1,0,1009577
1940,Ken Jungels,Indians,1,0,1006650
1980,Dave Chalk,Royals,190,0,1002114
1943,Lefty Gomez,Senators,1,0,1004821
1937,Harry Chozen,Reds,4,0,1002207
1946,Red Adams,Cubs,1,0,1000060
1946,Ed Hanyzewski,Cubs,1,0,1005336
1935,Earl Huckleberry,Athletics,4,0,1006127
1991,Scott Terry,Cardinals,7,0,1012930
1958,John Tsitouris,Athletics,1,0,1013208
1915,Walt Leverenz,Browns,1,0,1007566
1915,Alex Remneas,Browns,1,0,1010826
1915,Allen Sothoron,Browns,1,0,1012288
1949,Rex Barney,Dodgers,51,0,1000571
1884,Ed Morris,Buckeyes,207,0,1009204
2012,Kyle McPherson,Pirates,6,0,5009
1977,Ramon Hernandez,Cubs,1,0,1005710
1950,Mike Garcia,Indians,72,0,1004505
1914,Bull Wagner,Robins,1,0,1013479
1913,Heinie Elder,Tigers,1,0,1003724
1913,Phil Redding,Cardinals,1,0,1010748
1968,Wally Bunker,Orioles,22,0,1001652
1998,Brad Woodall,Brewers,47,0,1014206
1985,Jim Winn,Pirates,21,0,1014140
1952,Jim Dunn,Pirates,1,0,1003574
1913,Harry Betts,Reds,1,0,1000932
1913,Cy Morgan,Reds,1,0,1009174
2013,Irving Falu,Royals,4,0,6165
1908,John Sullivan,Pirates,1,0,1012698
1915,Duster Mails,Robins,1,0,1007998
1915,Charlie Schmutz,Robins,1,0,1011590
1951,Bob Ross,Senators,10,0,1011222
1917,Roy Walker,Cubs,1,0,1013531
1936,Swede Larsen,Bees,1,0,1007360
1964,Barney Schultz,Cardinals,7,0,1011625
1943,Ray Prim,Cubs,15,0,1010537
1983,Mike Fuentes,Expos,4,0,1004384
1937,Link Wasem,Bees,1,0,1013648
1937,Newt Kimball,Cubs,1,0,1006913
1937,Bob Logan,Cubs,1,0,1007704
1942,Frank Secory,Reds,8,0,1011712
1914,Eddie Plank,Athletics,71,0,1010385
1941,Frank LaManna,Braves,32,0,1007269
1947,Chuck Stobbs,Red Sox,1,0,1012548
1919,Mike Cantwell,Phillies,9,0,1001922
1939,Red Barrett,Reds,1,0,1000600
1939,Jim Weaver,Reds,1,0,1013699
1912,Slim Harrell,Athletics,1,0,1005391
2011,Vinny Rottino,Marlins,14,0,5202
1941,Nate Andrews,Indians,1,0,1000259
1941,Red Embree,Indians,1,0,1003763
1944,Tal Abernathy,Athletics,1,0,1000019
1911,Jack Ryan,Dodgers,1,0,1011338
1956,Babe Birrer,Orioles,1,0,1000984
1956,Ron Moeller,Orioles,1,0,1009024
1956,Billy O'Dell,Orioles,1,0,1009724
1938,Preacher Roe,Cardinals,1,0,1011122
2003,Gookie Dawkins,Royals,3,0,316
1916,Marv Goodwin,Senators,1,0,1004867
1946,Dick Koecher,Phillies,1,0,1007071
1999,Chris Clapinski,Marlins,66,0,1002257
1964,Harry Bright,Yankees,6,0,1001430
1970,Jim Hicks,Angels,4,0,1005779
1933,Charlie Wilson,Cardinals,1,0,1014067
1917,Jack Enright,Yankees,1,0,1003789
1963,Jim Gosger,Red Sox,19,0,1004892
1956,Jim Fanning,Cubs,4,0,1003923
1980,Al Olmsted,Cardinals,13,0,1009785
1974,Gary Gentry,Braves,1,0,1004614
1927,George Mogridge,Braves,15,0,1009029
1997,Darren Holmes,Rockies,23,0,95
1919,Mike Regan,Reds,1,0,1010784
1915,Squiz Pillion,Athletics,1,0,1010352
1950,Dave Cole,Braves,1,0,1002413
1950,Murray Wall,Braves,1,0,1013562
1910,Cy Young,Naps,62,0,1014369
1945,Clay Touchstone,White Sox,1,0,1013141
1911,Jesse Tannehill,Reds,1,0,1012822
1946,Jack Knott,Athletics,1,0,1007053
1952,Hal Hudson,Browns,1,0,1006135
1913,Bill Hall,Superbas,1,0,1005234
1911,Pat Paige,Naps,7,0,1009961
1934,Sherman Edwards,Reds,1,0,1003693
1934,Lee Grissom,Reds,1,0,1005073
1946,Don Hendrickson,Braves,1,0,1005639
1946,Johnny Hutchings,Braves,1,0,1006241
1946,Al Javery,Braves,1,0,1006369
1915,Nick Altrock,Senators,1,0,1000191
1946,Karl Drews,Yankees,1,0,1003499
1958,John Fitzgerald,Giants,1,0,1004111
2006,Justin Huber,Royals,11,0,3147
1919,Bob Steele,Giants,1,0,1012450
1953,Paul Foytack,Tigers,1,0,1004287
1934,Phil Page,Dodgers,1,0,1009955
1934,Dick Ward,Cubs,1,0,1013608
1934,Charlie Wiedemeyer,Cubs,1,0,1013924
1911,Walt Herrell,Senators,1,0,1005725
2014,Josh Thole,Blue Jays,150,0,9689
1890,Jim Adams,Browns,4,0,1000054
2013,Jonathan Sanchez,Pirates,6,0,7507
1938,Buck Marrow,Dodgers,1,0,1008130
1916,Jess Buckles,Yankees,1,0,1001622
1985,Nick Capra,Rangers,8,0,1001929
1944,Lou Lucier,Red Sox,1,0,1007812
1944,Stan Partenheimer,Red Sox,1,0,1010034
1944,Mack Stewart,Cubs,1,0,1012526
1944,Howie Fox,Reds,1,0,1004278
1918,Cal Crum,Braves,1,0,1002832
2001,Michael Young,Rangers,429,0,1286
1946,Freddy Schmidt,Cardinals,1,0,1011582
1991,Kent Mercker,Braves,11,0,439
2000,Giovanni Carrara,Rockies,1,0,643
2000,Stan Belinda,Rockies,1,0,1000792
2000,Jerry Dipoto,Rockies,1,0,1003321
1983,Bill Almon,Athletics,495,0,1000174
1899,Youngy Johnson,Giants,1,0,1006514
1899,Frank McPartlin,Giants,1,0,1008674
1960,George Spencer,Tigers,1,0,1012322
1910,Ed Abbaticchio,- - -,201,0,1000005
1947,Clayton Lambert,Reds,1,0,1007273
1966,George Banks,Indians,4,0,1000514
1914,Esty Chaney,Tip-Tops,1,0,1002135
1914,Joe Vernon,Tip-Tops,1,0,1013415
1919,John Sullivan,White Sox,4,0,1012699
1918,Waite Hoyt,Giants,1,0,1006115
1918,Jack Ogden,Giants,1,0,1009743
1918,George Ross,Giants,1,0,1011231
1948,Joe Collins,Yankees,5,0,1002456
1927,Jackie Hayes,Senators,31,0,1005528
1945,Paul Schreiber,Yankees,1,0,1011613
1911,Bunny Hearn,Cardinals,1,0,1005551
1911,Jack McAdams,Cardinals,1,0,1008319
1911,Pete Standridge,Cardinals,1,0,1012397
1911,George Zackert,Cardinals,1,0,1014408
1944,Deacon Donahue,Blue Jays,1,0,1003368
1944,Barney Mussill,Blue Jays,1,0,1009410
1944,Harry Shuman,Blue Jays,1,0,1011944
1917,Dave Keefe,Athletics,1,0,1006740
1978,Harry Spilman,Reds,4,0,1012343
1998,Dave Wainhouse,Rockies,1,0,1013492
1960,Dave Wickersham,Athletics,1,0,1013917
1916,Herb Pennock,Red Sox,9,0,1010161
1918,Bill Pertica,Red Sox,1,0,1010217
1918,Weldon Wyckoff,Red Sox,1,0,1014305
1911,Ray Boyd,Reds,16,0,1001280
1911,Kirby White,Pirates,1,0,1013883
1930,Si Johnson,Reds,18,0,1006502
1960,Nelson Chittum,Red Sox,1,0,1002200
1999,Dave Veres,Rockies,1,0,1188
1999,Dave Wainhouse,Rockies,1,0,1013492
1906,Harry Smith,Pirates,1,0,1012150
1912,George Browne,Phillies,6,0,1001519
1924,Jim Roberts,Robins,8,0,1011037
1956,Sonny Dixon,Yankees,1,0,1003333
1954,Gus Triandos,Yankees,1,0,1013182
1939,Bill Hoffman,Phillies,1,0,1005901
1913,Jim Haislip,Phillies,1,0,1005213
1945,Woody Crowson,Athletics,1,0,1002830
1956,Angelo Lipetri,Phillies,1,0,1007644
1956,Duane Pillette,Phillies,1,0,1010350
1958,Dick Ellsworth,Cubs,1,0,1003754
1958,Freddy Rodriguez,Cubs,1,0,1011105
1958,Elmer Singleton,Cubs,1,0,1012009
1940,Tex Carleton,Dodgers,50,0,1001953
1945,Bill DeKoning,Giants,1,0,1003153
1958,Don Erickson,Phillies,1,0,1003805
1958,Johnny Gray,Phillies,1,0,1004973
1958,Warren Hacker,Phillies,1,0,1005182
1912,Clark Griffith,Senators,1,0,1005038
1997,Robert Machado,White Sox,17,0,289
1961,Bob Sprout,Angels,1,0,1012365
1957,Fred Kipp,Dodgers,1,0,1006959
1946,Harry Feldman,Giants,1,0,1003971
2016,Brett Oberholtzer,Phillies,7,0,3855
1881,Tommy Bond,Red Caps,10,0,1001158
1939,Tom Gorman,Giants,1,0,1004885
1954,Joey Amalfitano,Giants,5,0,1000204
1941,Rankin Johnson,Athletics,1,0,1006493
1941,Tex Shirley,Athletics,1,0,1011914
1954,Alex Konikowski,Giants,1,0,1007095
1910,Joe Crisp,Browns,1,0,1002774
1900,Walt Woods,Pirates,1,0,1014245
1916,Bill McTigue,Tigers,1,0,1008695
1909,Charlie Smith,- - -,58,0,1012110
1959,Dan Dobbek,Senators,67,0,1003338
1912,Harry Moran,Tigers,5,0,1009148
1906,Dummy Taylor,Giants,80,0,1012867
1999,Joel Bennett,Phillies,6,0,1000845
1901,John McPherson,Athletics,1,0,1008676
1956,Marty Keough,Red Sox,3,0,1006857
2009,Josh Fogg,Rockies,12,0,989
2001,Chad Moeller,Diamondbacks,63,0,66
1956,Mike McCormick,Giants,1,0,1008420
1956,Roy Wright,Giants,1,0,1014293
1985,Joe DeSa,White Sox,48,0,1003226
1941,Bob Carpenter,Giants,51,0,1001976
1965,John Wyatt,Athletics,6,0,1014303
1949,Lefty Sloat,Cubs,1,0,1012068
1934,Jim Lindsey,Cardinals,1,0,1007632
1988,Andy McGaffigan,Expos,6,0,1008497
1974,Jerry Reuss,Pirates,98,0,1010853
1928,Hod Lisenbee,Senators,26,0,1007651
1944,Bill Trotter,Cardinals,1,0,1013193
1943,Archie McKain,Browns,1,0,1008577
1943,Fred Sanford,Browns,1,0,1011430
1903,Buck Hooker,Reds,1,0,1005998
1903,Jimmy Wiggs,Reds,1,0,1013932
1915,Hans Rasmussen,Whales,1,0,1010705
1890,Charlie Bartson,Pirates,90,0,1000635
1931,Emil Planeta,Giants,1,0,1010384
1947,George Dockins,Dodgers,1,0,1003347
1914,Ted Welch,Terriers,1,0,1013760
1955,Ron Samford,Tigers,1,0,1011394
1944,Jim Hickey,Braves,1,0,1005770
1944,Carl Lindquist,Braves,1,0,1007624
1917,Pop-Boy Smith,Indians,1,0,1012194
1954,Bill Greason,Cardinals,1,0,1004980
1954,Hal White,Cardinals,1,0,1013877
1954,Mel Wright,Cardinals,1,0,1014288
1953,Bob Borkowski,Reds,273,0,1001204
1987,Pat Perry,Cardinals,7,0,1010215
1928,Clint Brown,Indians,5,0,1001504
1914,Vern Hughes,Terrapins,1,0,1006168
1914,Jack Ridgway,Terrapins,1,0,1010949
1918,Ad Brennan,Senators,1,0,1001387
1935,Art Bramhall,Phillies,1,0,1001339
1932,Larry French,Pirates,97,0,1004338
2012,R.A. Dickey,Mets,83,0,1245
1928,Phil Page,Tigers,9,0,1009955
1950,Bruce Edwards,Dodgers,156,0,1003683
1957,Claude Osteen,Redlegs,1,0,1009878
1935,Roy Joiner,Cubs,1,0,1006516
1921,Pat Collins,Browns,130,0,1002460
1901,Ben Harrison,Senators,3,0,1005394
1988,Ron Washington,Indians,241,0,1013658
1910,Mysterious Walker,Reds,1,0,1013529
2010,John Raynor,Pirates,11,0,9450
1949,Andy Tomasic,Giants,1,0,1013107
2007,Edgar Gonzalez,Diamondbacks,24,0,1727
1909,Ben Froelich,Phillies,1,0,1004373
1909,Ed McDonough,Phillies,1,0,1008456
1945,Cliff Fannin,Browns,1,0,1003921
1945,Al LaMacchia,Browns,1,0,1007267
1956,Harry Byrd,White Sox,1,0,1001793
1948,Jack Hallett,Giants,1,0,1005243
1948,Mickey McGowan,Giants,1,0,1008539
1911,Pug Cavet,Tigers,1,0,1002095
2010,Chris Gimenez,Indians,67,0,7324
1909,Bob Rhoads,Naps,48,0,1010881
1940,Orval Grove,White Sox,1,0,1005100
1900,Jack Harper,Cardinals,1,0,1005380
1939,Boots Poffenberger,Dodgers,1,0,1010410
1967,Steve Huntz,Cardinals,7,0,1006213
1954,Tommy Lasorda,Dodgers,1,0,1007369
1919,Joel Newkirk,Cubs,1,0,1009537
1919,Harry Weaver,Cubs,1,0,1013698
1933,Nick Altrock,Senators,1,0,1000191
1933,Bud Thomas,Senators,1,0,1012966
1989,Jerry Hairston,White Sox,3,0,1005210
1957,Herb Score,Indians,13,0,1011671
1944,Whitey Miller,Giants,1,0,1008941
1911,Ed Klepfer,Highlanders,1,0,1006997
1960,Ron Piche,Braves,9,0,1010308
1949,Fred Bradley,White Sox,1,0,1001306
1949,Jack Bruner,White Sox,1,0,1001591
1949,Bill Evans,White Sox,1,0,1003862
1947,Johnny Grodzicki,Cardinals,1,0,1005077
1945,Herm Wehmeier,Reds,1,0,1013729
1906,Simon Nicholls,Athletics,47,0,1009571
1958,Phil Clark,Cardinals,1,0,1002302
1958,Von McDaniel,Cardinals,1,0,1008443
1943,George Diehl,Braves,1,0,1003286
1943,Ray Martin,Braves,1,0,1008192
1943,Lou Tost,Braves,1,0,1013139
1931,Ad Liska,Senators,1,0,1007654
1948,Fred Bradley,White Sox,1,0,1001306
1890,Charlie Stecher,Athletics,31,0,1012447
1919,Lafayette Henion,Robins,1,0,1005648
1899,Bill Leith,Senators,1,0,1007502
1899,Dorsey Riddlemoser,Senators,1,0,1010945
1954,John Pyecha,Cubs,1,0,1010580
1980,Charlie Spikes,Braves,40,0,1012341
1956,Dick Marlowe,Tigers,1,0,1008114
1915,Fred Trautman,Pepper,1,0,1013158
1950,Joe Landrum,Dodgers,1,0,1007302
1950,Jim Romano,Dodgers,1,0,1011164
1916,Rip Hagerman,Indians,1,0,1005198
1935,Harry Eisenstat,Dodgers,1,0,1003717
1935,Frank Lamanske,Dodgers,1,0,1007268
2002,Wade Miller,Astros,69,0,568
1950,John Perkovich,White Sox,1,0,1010196
1918,Ed Corey,White Sox,1,0,1002624
1909,Herbie Moran,Doves,36,0,1009149
1938,Bill Phebus,Senators,1,0,1010271
1955,Ewell Blackwell,Athletics,1,0,1001013
1955,Glenn Cox,Athletics,1,0,1002701
1955,Bob Spicer,Athletics,1,0,1012337
1979,Rudy May,Expos,23,0,1008310
1890,John Morrill,Reds,9,0,1009214
1910,Rube Geyer,Cardinals,1,0,1004650
1910,John Raleigh,Cardinals,1,0,1010662
1935,Claude Passeau,Pirates,1,0,1010046
1951,Johnny Vander Meer,Indians,1,0,1013350
1958,Jay Hook,Redlegs,1,0,1005999
1967,Kevin Collins,Mets,10,0,1002457
2002,Andy Ashby,Dodgers,56,0,637
1965,Ernie Broglio,Cubs,6,0,1001463
1948,Jack Banta,Dodgers,1,0,1000520
1914,Fred Ostendorf,Hoosiers,1,0,1009880
2004,Matt Treanor,Marlins,61,0,2265
1939,Murry Dickson,Cardinals,1,0,1003282
1955,Jim Konstanty,Yankees,12,0,1007098
1880,Dick Higham,Trojans,5,0,1005794
1929,Herb Bradley,Red Sox,1,0,1001309
1929,Pat Simmons,Red Sox,1,0,1011985
1992,Randy Myers,Padres,8,0,1009427
1914,Tom Wilson,Senators,1,0,1014108
1951,Lew Burdette,Braves,1,0,1001662
1951,Blix Donnelly,Braves,1,0,1003381
1972,Diego Segui,- - -,14,0,1011725
1958,Jackie Collum,Dodgers,1,0,1002469
1996,David Doster,Phillies,113,0,1003423
1917,Jack Roche,Cardinals,1,0,1011088
1958,Jim Fridley,Redlegs,9,0,1004350
1959,Gene Snyder,Dodgers,9,0,1012247
2009,Paul Bako,Phillies,130,0,676
1918,Herb Hall,Tigers,1,0,1005246
1891,Elmer Foster,Colts,17,0,1004249
1886,Farmer Vaughn,Red Stockings,4,0,1013381
1912,Eddie Dent,Dodgers,1,0,1003213
1871,Joe Battin,Forest Citys,4,0,1000672
1906,Oscar Stanage,Reds,1,0,1012394
1955,Eric Mackenzie,Athletics,1,0,1007917
1894,,Reds,4,0,1008551
1951,Ernie Nevel,Yankees,1,0,1009526
1915,Joe Gingras,Packers,1,0,1004740
1922,Red Causey,Giants,22,0,1002090
1945,Walter Signer,Cubs,1,0,1011964
1948,Cal McLish,Pirates,1,0,1008626
1918,Alex Ferguson,Yankees,1,0,1003984
1935,Bud Tinning,Cardinals,1,0,1013076
1955,Bob Greenwood,Phillies,1,0,1004985
1955,Jack Spring,Phillies,1,0,1012362
1898,Ed Doheny,Giants,92,0,1003356
1894,Gene DeMontreville,Pirates,9,0,1003198
1898,George Kelb,Spiders,5,0,1006765
1939,Harry Boyles,White Sox,1,0,1001287
1939,Jess Dobernic,White Sox,1,0,1003342
2013,Alfredo Simon,Reds,7,0,2155
1999,Mike Mordecai,Expos,250,0,1385
1928,Rudy Leopold,White Sox,1,0,1007543
1928,Roy Wilson,White Sox,1,0,1014103
2001,Mike Mussina,Yankees,7,0,837
1971,Denis Menke,Astros,547,0,1008766
1945,Charlie Ripple,Phillies,1,0,1010982
2002,Sal Fasano,Angels,1,0,1205
1929,Paul McCullough,Senators,1,0,1008437
1889,Pete Weckbecker,Hoosiers,1,0,1013722
2006,Mike Rouse,Athletics,26,0,1893
1960,Gil Hodges,Dodgers,231,0,1005883
1932,Dick Terwilliger,Cardinals,1,0,1012933
1932,Bob Friedrichs,Senators,1,0,1004351
1919,George Winn,Red Sox,1,0,1014138
1970,Dave Morehead,Royals,40,0,1009156
1928,Jim Weaver,Senators,1,0,1013699
1900,Rome Chambers,Beaneaters,1,0,1002125
1933,Clarence Pickrel,Phillies,1,0,1010318
1994,Marvin Freeman,Rockies,42,0,1004326
1928,John Wilson,Red Sox,1,0,1014092
1963,Dave Ricketts,Cardinals,8,0,1010935
1915,Jesse Barnes,Braves,18,0,1000566
1909,Arlie Latham,Giants,2,0,1007371
1958,Tom Morgan,Tigers,11,0,1009184
1912,Ensign Cottrell,Cubs,1,0,1002665
1964,Hank Foiles,Angels,4,0,1004194
1953,Don Elston,Cubs,1,0,1003759
1903,Danny Hoffman,Athletics,259,0,1005902
1932,Les Bartholomew,White Sox,1,0,1000625
1932,Hal McKain,White Sox,1,0,1008578
1932,Jim Moore,White Sox,1,0,1009114
1932,Art Smith,White Sox,1,0,1012091
1951,Stubby Overmire,- - -,29,0,1009911
1950,Hal Gregg,Pirates,1,0,1005020
1951,Lou Possehl,Phillies,1,0,1010465
1956,Arnie Portocarrero,Athletics,1,0,1010459
1991,Rich Rowland,Tigers,6,0,1011262
1926,Rufus Meadows,Reds,1,0,1008707
1926,Brad Springer,Reds,1,0,1012360
2002,Joel Pineiro,Mariners,7,0,1094
1919,Rip Jordan,Senators,1,0,1006614
1919,Charlie Whitehouse,Senators,1,0,1013858
1932,Regis Leheny,Red Sox,1,0,1007484
1932,Jud McLaughlin,Red Sox,1,0,1008615
1921,Reuben Ewing,Cardinals,1,0,1003883
1887,Billy Taylor,Athletics,4,0,1012856
1940,Bill Cox,Browns,1,0,1002691
1914,Al Cypert,Naps,1,0,1002917
1951,Alton Brown,Senators,1,0,1001492
1955,Fred Waters,Pirates,1,0,1013664
1992,Dave Righetti,Giants,11,0,1010958
1947,Virgil Stallcup,Reds,1,0,1012393
1929,Rudy Miller,Athletics,7,0,1008934
1928,Bunny Hearn,Braves,1,0,1005552
1928,Art Mills,Braves,1,0,1008950
2010,Chris Young,Padres,6,0,3196
2000,Mark DeRosa,Braves,15,0,1392
1928,Harlan Pyle,Reds,1,0,1010583
1950,Ed Klieman,Athletics,1,0,1006999
1973,Mike Wallace,Phillies,5,0,1013553
1964,Howie Koplitz,Senators,5,0,1007107
1952,Len Okrie,Red Sox,1,0,1009758
1916,Artie Dede,Robins,1,0,1003130
1934,Tim McKeithan,Athletics,1,0,1008588
1954,Tom Morgan,Yankees,52,0,1009184
1955,Tony Jacobs,Cardinals,1,0,1006329
1953,Bill MacDonald,Pirates,1,0,1007899
1933,Hod Ford,Braves,18,0,1004221
1934,Sarge Connally,Indians,1,0,1002513
1955,Bubba Church,Cubs,1,0,1002225
1912,Bill Cramer,Reds,1,0,1002725
1912,Ed Donalds,Reds,1,0,1003377
1912,Bill Prough,Reds,1,0,1010548
1932,Irv Stein,Athletics,1,0,1012468
2018,Max Fried,Braves,8,0,13743
2018,Michael Soroka,Braves,8,0,18383
1968,Jim Kaat,Twins,79,0,1006660
1968,Pat Dobson,Tigers,32,0,1003345
1959,Jim Finigan,Orioles,130,0,1004052
1919,Tom McGuire,White Sox,1,0,1008557
1945,Johnny Gee,Giants,1,0,1004594
1945,Roy Lee,Giants,1,0,1007464
1928,Ed Crowley,Senators,1,0,1002827
2008,Josh Johnson,Marlins,34,0,4567
1926,Ray Moss,Robins,1,0,1009254
1915,Hank Severeid,Browns,220,0,1011761
1955,Jim Pagliaroni,Red Sox,1,0,1009958
1947,Gene Woodling,Pirates,87,0,1014228
1927,Virgil Cheeves,Giants,1,0,1002174
1981,Marshall Edwards,Brewers,58,0,1003690
1949,Del Wilber,Cardinals,4,0,1013936
1934,George Pipgras,Red Sox,1,0,1010363
1933,Whit Wyatt,- - -,32,0,1014304
1938,Ralph Buxton,Athletics,1,0,1001786
1964,Wes Stock,- - -,23,0,1012553
1886,Jim Gallagher,Nationals,5,0,1004453
2009,Manny Parra,Brewers,54,0,4279
1919,Sam White,Braves,1,0,1013891
1970,Tom Burgmeier,Royals,16,0,1001668
1984,Dave Rucker,Cardinals,7,0,1011279
1974,Rusty Gerhardt,Padres,6,0,1004631
1936,Steve Sundra,Yankees,1,0,1012726
1951,Kent Peterson,Reds,1,0,1010234
1901,Tacks Latimer,Orioles,4,0,1007376
1925,Bill Anderson,Braves,1,0,1000218
1925,Joe Batchelder,Braves,1,0,1000651
1939,Ed Cole,Browns,1,0,1002415
1939,Bill Cox,Browns,1,0,1002691
1939,Loy Hanning,Browns,1,0,1005321
1931,Belve Bean,Indians,1,0,1000712
1920,Hal Kime,Cardinals,1,0,1006917
1920,George Scott,Cardinals,1,0,1011681
1978,Bruce Boisclair,Mets,244,0,1001131
2001,Brian Johnson,Dodgers,4,0,1006432
1972,Tommie Reynolds,Brewers,141,0,1010875
1997,Andy Stewart,Royals,8,0,1012515
1948,Dutch McCall,Cubs,59,0,1008357
1926,Harry Kelley,Senators,1,0,1006773
2013,Kyle Kendrick,Phillies,66,0,6230
1920,Claude Davenport,Giants,1,0,1003015
1920,Tom Grubbs,Giants,1,0,1005104
1893,George Haddock,Grooms,93,0,1005185
2001,Jason Middlebrook,Padres,7,0,1048
2013,John Gast,Cardinals,6,0,11133
1929,Mel Harder,Indians,1,0,1005339
1929,Frank Barnes,Tigers,1,0,1000563
1929,Elam Vangilder,Tigers,1,0,1013355
1936,Herb Harris,Phillies,1,0,1005417
1911,Ad Brennan,Phillies,10,0,1001387
1936,Joe Bokina,Senators,1,0,1001135
1912,Hank Ritter,Phillies,1,0,1010992
1983,Elias Sosa,Padres,7,0,1012284
2012,Tommy Field,Rockies,3,0,6262
1872,Tommy Beals,Olympics,37,0,1000706
1927,Frank Stewart,White Sox,1,0,1012520
1918,Tom Daly,Cubs,1,0,1002958
1923,Harry Harper,Robins,1,0,1005379
1923,Harry Shriver,Robins,1,0,1011939
1933,Garland Braxton,Browns,1,0,1001368
1962,Bill Kern,Athletics,16,0,1006866
1893,Seth Sigsby,Giants,1,0,1011965
1920,Joe Jaeger,Cubs,1,0,1006335
1920,Ted Turner,Cubs,1,0,1013234
1955,Maurice Fisher,Redlegs,1,0,1004093
1955,Bob Hooper,Redlegs,1,0,1006001
1923,Slim McGrew,Senators,1,0,1008547
1962,Charlie Shoemaker,Athletics,11,0,1011919
1950,Ed Albrecht,Browns,1,0,1000107
1950,Ribs Raney,Browns,1,0,1010696
1922,Slim McGrew,Senators,1,0,1008547
1922,Frank Woodward,Senators,1,0,1014247
2002,Todd Stottlemyre,Diamondbacks,6,0,75
1923,Bill Pertica,Cardinals,1,0,1010217
1923,Fred Wigington,Cardinals,1,0,1013934
1949,Bob Savage,Browns,1,0,1011466
