Season,Name,PA,WAR
1972,Gene Clines,334,1.6
1946,Dick Culler,553,1.6
1988,Otis Nixon,305,1.6
1954,Johnny Groth,477,1.6
2011,Darwin Barney,571,1.6
2017,Adam Duvall,647,1.6
1995,Chad Curtis,670,1.6
1997,Joey Cora,649,1.6
1930,Freddy Leach,580,1.6
1956,Pee Wee Reese,648,1.6
1962,Ken Retzer,372,1.6
1968,Dick Dietz,338,1.6
2000,Paul Konerko,586,1.6
1916,Fred Merkle,527,1.6
2013,Matt Adams,319,1.6
1991,Terry Steinbach,494,1.6
1999,David Bell,667,1.6
1898,Mike Tiernan,475,1.6
1937,Harry Danning,312,1.6
2006,Randy Winn,635,1.6
1891,Hardy Richardson,319,1.6
2014,Lonnie Chisenhall,533,1.6
1942,Pinky May,408,1.6
1925,Butch Henline,301,1.6
1998,Ellis Burks,582,1.6
1996,Todd Zeile,704,1.6
2018,Robinson Chirinos,426,1.6
1899,Deacon McGuire,394,1.6
1913,Jack Graney,583,1.6
1897,Billy Shindle,605,1.6
1933,Earl Grace,318,1.6
1919,Possum Whitted,452,1.6
1924,Sparky Adams,473,1.6
1981,Manny Trillo,387,1.6
1985,Cesar Cedeno,327,1.6
1912,Steve Evans,559,1.6
1891,Bobby Lowe,559,1.6
1946,Bob Elliott,559,1.6
1999,Shannon Stewart,682,1.6
1970,Rick Reichardt,321,1.6
1927,Heinie Manush,659,1.6
2001,Jason LaRue,403,1.6
1985,Ozzie Guillen,513,1.6
1969,Joe Foy,609,1.6
1991,Kelly Gruber,474,1.6
1995,Gregg Jefferies,521,1.6
1983,Larry Bowa,545,1.6
1912,Harry Lord,656,1.6
2018,Kevin Kiermaier,367,1.6
1885,Sadie Houck,405,1.6
1923,Andy High,489,1.6
1938,Frankie Pytlak,406,1.6
1958,Stan Lopata,322,1.6
1991,Jim Gantner,567,1.6
1997,Cal Ripken,686,1.6
1919,Austin McHenry,403,1.6
1948,Dixie Walker,465,1.6
2008,Joe Crede,373,1.6
1923,Reb Russell,318,1.6
1948,Bud Stewart,465,1.6
1958,Red Schoendienst,465,1.6
1917,Cy Williams,539,1.6
2002,Michael Barrett,428,1.6
1973,Chris Chambliss,636,1.6
2010,David Eckstein,492,1.6
1884,Jake Evans,328,1.6
1955,Joe Astroth,338,1.6
1937,Pep Young,442,1.6
1904,Gus Dundon,415,1.6
1959,Bill White,561,1.6
1887,Ezra Sutton,345,1.6
1931,Del Bissonette,649,1.6
1977,Omar Moreno,533,1.6
1966,Don Demeter,341,1.6
2016,Francisco Cervelli,393,1.6
1987,Johnny Ray,650,1.6
2008,Lyle Overbay,630,1.6
1977,Warren Cromartie,662,1.6
1980,John Wockenfuss,444,1.6
2003,Alex Gonzalez,601,1.6
1956,Bill Sarni,424,1.6
1985,Tom Brookens,522,1.6
1916,Hy Myers,452,1.6
1890,Deacon White,525,1.6
2015,Freddy Galvis,603,1.6
2011,Tony Gwynn,340,1.6
1908,John Anderson,399,1.6
1963,Leo Cardenas,601,1.6
1980,Bobby Brown,446,1.6
2006,Yuniesky Betancourt,584,1.6
1975,Larry Parrish,573,1.6
2009,Miguel Olivo,416,1.6
2002,Jay Gibbons,541,1.6
1985,Brook Jacoby,662,1.6
1993,Eric Young,565,1.6
2018,Marwin Gonzalez,552,1.6
1985,Lee Lacy,540,1.6
1985,Robin Yount,527,1.6
1911,Mickey Doolan,574,1.6
1985,Julio Franco,703,1.6
2008,Blake DeWitt,421,1.6
1991,Delino DeShields,673,1.6
2008,Aaron Miles,408,1.6
1980,Bump Wills,656,1.6
1924,Mike Gonzalez,434,1.6
1909,Roy Hartzell,647,1.6
1928,Freddy Leach,637,1.6
1919,George Cutshaw,560,1.6
1899,Tom O'Brien,625,1.6
1950,Grady Hatton,514,1.6
2017,Nicholas Castellanos,665,1.6
1883,Jack Rowe,389,1.6
1976,Joe Ferguson,439,1.6
1989,Jeff Treadway,514,1.6
1982,Garry Maddox,428,1.6
1988,Pat Sheridan,402,1.6
2017,Jason Castro,407,1.6
1951,Joe Ginsberg,351,1.6
2008,Jed Lowrie,306,1.6
1889,Spud Johnson,510,1.6
1994,Wally Joyner,417,1.6
1926,Johnny Butler,577,1.6
1997,Russ Davis,455,1.6
1983,Bo Diaz,516,1.6
2017,Bradley Zimmer,332,1.6
2006,Marlon Anderson,312,1.6
2001,Armando Rios,359,1.6
2013,Nelson Cruz,456,1.6
1984,Jason Thompson,636,1.6
2018,Wil Myers,343,1.6
1896,Bill Hallman,534,1.6
1948,Bill Rigney,478,1.6
1965,Rusty Staub,470,1.6
1998,Chris Hoiles,318,1.6
2007,Tadahito Iguchi,533,1.6
1988,Mitch Webster,597,1.6
1916,Jack Fournier,362,1.6
1875,Tom Carey,383,1.6
1950,Bill Serena,503,1.6
1919,Swede Risberg,464,1.6
1990,Chris James,569,1.6
1908,Bill Shipke,410,1.6
1948,Cass Michaels,558,1.6
1892,Harry Taylor,555,1.6
2018,Hunter Renfroe,441,1.6
1937,Elbie Fletcher,605,1.6
1991,Dave Magadan,517,1.6
1985,Tony Armas,410,1.6
1997,Harold Baines,510,1.6
2013,Brett Lawrie,442,1.6
1982,Garry Templeton,601,1.6
2015,Delino DeShields,492,1.6
1977,Bruce Bochte,552,1.6
1990,Daryl Boston,397,1.6
1890,Jack Doyle,311,1.6
1998,Jeff Reed,303,1.6
1896,Charlie Irwin,516,1.6
1925,Doc Prothro,472,1.6
1902,Roger Bresnahan,464,1.6
1914,George Stovall,487,1.6
1994,Tony Fernandez,422,1.6
1884,Ecky Stearns,430,1.6
1932,Wes Schulmerich,439,1.6
2012,Jason Kubel,571,1.6
2009,Skip Schumaker,586,1.6
1990,Dale Murphy,629,1.6
1890,Arlie Latham,427,1.6
2015,Chase Headley,642,1.6
2001,Steve Finley,548,1.6
1980,Leon Durham,330,1.6
2017,Jose Martinez,307,1.6
2006,Melky Cabrera,524,1.6
2017,Brandon Phillips,604,1.6
1889,Arlie Latham,565,1.6
1993,Todd Zeile,647,1.6
1919,Eddie Foster,526,1.6
1908,Eddie Collins,364,1.6
1961,Gene Green,405,1.6
2007,Bill Hall,503,1.6
1983,Keith Moreland,619,1.6
1972,Ted Ford,481,1.6
1956,Johnny Temple,712,1.6
1979,Cliff Johnson,350,1.6
1958,Joe Adcock,349,1.6
1954,Roy Sievers,609,1.6
1943,Pete Fox,543,1.6
1986,Ron Cey,306,1.6
1919,Chick Gandil,480,1.6
2017,Jorge Polanco,544,1.6
1912,Baldy Louden,489,1.6
2009,Nick Johnson,574,1.6
1977,Fred Lynn,564,1.6
2005,Juan Pierre,719,1.6
2002,Marquis Grissom,371,1.6
2006,Alex Gonzalez,429,1.6
2010,Chris Denorfia,317,1.6
1923,Riggs Stephenson,327,1.6
1972,Larry Bowa,633,1.6
1925,Russ Wrightstone,314,1.6
2003,Ramon Vazquez,484,1.6
2011,Jarrod Saltalamacchia,386,1.6
1967,Bert Campaneris,649,1.6
1977,Tom Poquette,372,1.6
1943,Al Lopez,428,1.6
1950,Johnny Wyrostek,569,1.6
2006,Esteban German,331,1.6
1957,Roger Maris,424,1.6
2009,Gerald Laird,477,1.6
1950,Mickey Vernon,489,1.6
1967,Lee May,472,1.6
2012,Eric Chavez,313,1.6
1941,Mike McCormick,413,1.6
2013,Zack Cozart,618,1.6
1904,Jiggs Donahue,406,1.6
1987,Chili Davis,578,1.6
1979,Dave Collins,429,1.6
2017,Jacoby Ellsbury,409,1.6
1889,Jocko Fields,319,1.6
2003,Gary Matthews Jr.,513,1.6
1988,John Kruk,466,1.6
1943,Babe Dahlgren,565,1.6
1986,Ruben Sierra,411,1.6
1947,Les Fleming,337,1.6
2011,Brennan Boesch,472,1.6
2015,Salvador Perez,553,1.6
2013,Nate Schierholtz,503,1.6
2005,J.J. Hardy,427,1.6
2017,Ryan Braun,425,1.6
1972,John Milner,423,1.6
1896,Heinie Reitz,527,1.6
1900,Buck Freeman,461,1.6
1932,Adam Comorosky,411,1.6
2005,Nook Logan,356,1.6
1993,Jeromy Burnitz,306,1.6
1936,Ossie Bluege,368,1.6
1902,Ossee Schreckengost,376,1.6
2010,Pedro Alvarez,386,1.6
1934,Rollie Hemsley,473,1.6
1937,Buddy Hassett,595,1.6
2001,Aaron Boone,427,1.6
1890,George Davis,583,1.6
1881,Sadie Houck,314,1.6
1976,Frank White,489,1.6
1897,Charlie Irwin,571,1.6
2000,Eric Karros,663,1.5
2011,Rod Barajas,337,1.5
1985,Juan Beniquez,460,1.5
1936,Lew Riggs,588,1.5
1985,Marty Barrett,608,1.5
1995,Brian Hunter,349,1.5
1994,Bret Boone,424,1.5
1930,Mule Haas,609,1.5
1919,Irish Meusel,549,1.5
1994,Dante Bichette,509,1.5
1965,Norm Siebern,353,1.5
1930,Taylor Douthit,748,1.5
2008,Ronnie Belliard,337,1.5
1888,Cub Stricker,549,1.5
1988,Geno Petralli,400,1.5
1980,Omar Moreno,745,1.5
1977,Bob Bailor,523,1.5
2004,Larry Bigbie,531,1.5
1890,Sam Wise,557,1.5
1888,Walt Wilmot,498,1.5
1910,Steve Evans,627,1.5
1983,Mookie Wilson,663,1.5
2007,Nate McLouth,382,1.5
1927,Bill Barrett,634,1.5
1909,Jim Delahanty,528,1.5
1907,Danny Hoffman,583,1.5
1933,Joe Sewell,606,1.5
1929,Ernie Orsatti,389,1.5
2003,Eric Byrnes,461,1.5
2010,Jerry Hairston,476,1.5
1974,Jerry Grote,363,1.5
1888,Charley Bassett,519,1.5
1934,Marty McManus,472,1.5
2011,John Buck,530,1.5
2017,Christian Vazquez,345,1.5
1959,Dick Groat,640,1.5
1997,Vladimir Guerrero,354,1.5
1894,Ed Cartwright,572,1.5
1968,Jake Gibbs,460,1.5
1920,Les Mann,477,1.5
2000,Bill Spiers,409,1.5
2006,Adam Dunn,683,1.5
1941,Lee Handley,509,1.5
1895,Arlie Latham,514,1.5
1976,Larvell Blanks,371,1.5
1937,Bill Brubaker,472,1.5
1884,Charlie Comiskey,470,1.5
1938,Rip Radcliff,545,1.5
1909,Jap Barbeau,611,1.5
1987,Tracy Jones,390,1.5
1888,John Morrill,543,1.5
1918,Nemo Leibold,513,1.5
1952,Johnny Wyrostek,496,1.5
1982,Julio Cruz,617,1.5
1902,Boileryard Clarke,323,1.5
1915,Doug Baird,574,1.5
2006,David Eckstein,552,1.5
2012,Gerardo Parra,430,1.5
1931,Sam Rice,460,1.5
1944,Rick Ferrell,387,1.5
1928,Les Bell,656,1.5
2015,Luis Valbuena,493,1.5
2001,Edgardo Alfonzo,519,1.5
1979,Derrel Thomas,460,1.5
1920,Earl Smith,377,1.5
2013,Wilson Ramos,303,1.5
1938,Pinky Higgins,603,1.5
1981,John Stearns,305,1.5
2012,Matt Carpenter,340,1.5
1904,Terry Turner,434,1.5
1910,Jack Lelivelt,405,1.5
1921,Amos Strunk,453,1.5
1970,Deron Johnson,650,1.5
2000,Jason Varitek,519,1.5
1981,Bill Buckner,453,1.5
1975,Bill Melton,608,1.5
1992,Wade Boggs,598,1.5
1992,Mitch Webster,304,1.5
1977,Chris Speier,621,1.5
1968,Ron Hansen,414,1.5
1882,Jack Burdock,328,1.5
1956,Clint Courtney,316,1.5
1964,Buck Rodgers,572,1.5
2004,Mike Lieberthal,529,1.5
1908,Boss Schmidt,454,1.5
1891,Cliff Carroll,580,1.5
1888,Henry Easterday,437,1.5
1986,Phil Garner,347,1.5
1995,Walt Weiss,537,1.5
1907,Johnny Bates,504,1.5
1998,Luis Alicea,308,1.5
1908,John Hummel,642,1.5
2016,Paulo Orlando,484,1.5
1953,Davey Williams,390,1.5
1974,Leroy Stanton,464,1.5
1981,Tony Scott,427,1.5
1896,Fred Tenney,406,1.5
1930,Willie Kamm,396,1.5
2000,Mark Loretta,399,1.5
2004,Deivi Cruz,431,1.5
1928,Johnny Mostil,589,1.5
1973,Dick Green,366,1.5
1986,Eddie Milner,462,1.5
1995,Juan Gonzalez,374,1.5
1935,Ethan Allen,700,1.5
1978,Ken Reitz,578,1.5
1941,Maurice Van Robays,504,1.5
1996,John Cangelosi,313,1.5
1892,Sam Dungan,474,1.5
1998,Ben Grieve,678,1.5
1974,Charlie Spikes,612,1.5
2016,Nori Aoki,467,1.5
1931,Charlie Gehringer,414,1.5
1969,Rick Reichardt,557,1.5
1977,Ted Sizemore,581,1.5
1933,George Watkins,585,1.5
1955,Jim Gilliam,627,1.5
1897,Billy Clingman,445,1.5
2011,Chris Heisey,308,1.5
1996,Marvin Benard,558,1.5
1985,Jim Gantner,573,1.5
1924,Ossie Bluege,465,1.5
1958,Dale Long,554,1.5
2015,Yasiel Puig,311,1.5
2006,Pedro Feliz,644,1.5
2013,Mark Ellis,480,1.5
2012,Jamey Carroll,537,1.5
1893,Jack Boyle,555,1.5
1976,Rob Andrews,449,1.5
1945,Oris Hockett,449,1.5
1958,Roger Maris,637,1.5
1923,Tony Boeckel,633,1.5
2014,Jason Castro,512,1.5
1981,Chris Chambliss,455,1.5
1933,Carl Reynolds,538,1.5
1982,Carl Yastrzemski,523,1.5
1991,Lance Parrish,445,1.5
1951,Jim Busby,524,1.5
1970,Steve Huntz,427,1.5
1964,Woodie Held,415,1.5
1915,Ham Hyatt,330,1.5
1954,Sherm Lollar,365,1.5
2015,Jose Iglesias,454,1.5
1977,Carlos Lopez,319,1.5
1966,Don Wert,642,1.5
1994,Mike Lansing,435,1.5
2018,Denard Span,501,1.5
1915,Chief Wilson,388,1.5
2015,Blake Swihart,309,1.5
2007,Brian McCann,552,1.5
1984,Andy Van Slyke,430,1.5
1930,Jimmie Wilson,403,1.5
1971,Ken Boswell,436,1.5
2013,Nick Punto,335,1.5
1989,Luis Polonia,466,1.5
1972,Felipe Alou,351,1.5
1958,Jim Piersall,469,1.5
1909,Larry McLean,358,1.5
1965,Bert Campaneris,634,1.5
1967,Don Lock,366,1.5
1999,Dean Palmer,631,1.5
1907,Hobe Ferris,583,1.5
2011,Shin-Soo Choo,358,1.5
1989,Craig Worthington,566,1.5
1997,Darrin Fletcher,334,1.5
1953,Andy Seminick,438,1.5
1954,Ed Fitz Gerald,401,1.5
1951,Mickey Mantle,386,1.5
1925,Bing Miller,523,1.5
1971,Jim Lefebvre,437,1.5
1945,Dain Clay,700,1.5
1954,Jim Hegan,468,1.5
2005,Kelly Johnson,334,1.5
1898,Patsy Tebeau,546,1.5
2015,Marlon Byrd,544,1.5
1968,Roger Maris,340,1.5
2007,Pat Burrell,598,1.5
1993,Luis Alicea,421,1.5
1890,Sy Sutcliffe,419,1.5
2007,Paul Konerko,636,1.5
1926,Bill Barrett,412,1.5
2002,Geoff Blum,421,1.5
1893,Walt Wilmot,433,1.5
1998,Joey Cora,695,1.5
2001,Shane Spencer,311,1.5
1936,Billy Werber,639,1.5
1964,Steve Boros,423,1.5
1980,Charlie Moore,356,1.5
1925,Howard Freigau,551,1.5
2010,Ryan Ludwick,553,1.5
1895,Jimmy Collins,462,1.5
1957,Roberto Clemente,475,1.5
1952,Jim Rivera,595,1.5
1934,Pinky Whitney,597,1.5
1991,Darryl Hamilton,448,1.5
2005,Lew Ford,590,1.5
1964,Jesse Gonder,374,1.5
1906,Admiral Schlei,429,1.5
2015,Lonnie Chisenhall,362,1.5
2015,Jason Castro,375,1.5
1943,Hank Edwards,329,1.5
1927,Hughie Critz,429,1.5
1959,Jim Baxes,308,1.5
1923,Tommy Griffith,546,1.5
1959,Alex Grammas,415,1.5
1888,Gus Alberts,412,1.5
2013,Jonny Gomes,366,1.5
1907,Bill Bradley,588,1.5
1977,Marc Hill,364,1.5
1950,Sam Chapman,627,1.5
1909,Bobby Wallace,451,1.5
1985,Reggie Jackson,541,1.5
1970,Bill Russell,304,1.5
1976,Jerry Turner,320,1.5
1999,Juan Encarnacion,538,1.5
2000,Mark Quinn,544,1.5
2012,Brian McCann,487,1.5
1981,John Mayberry,344,1.5
1919,Cliff Heathcote,433,1.5
1978,Oscar Gamble,437,1.5
1916,Donie Bush,653,1.5
1895,Shorty Fuller,531,1.5
2001,Matt Williams,436,1.5
1951,Lou Boudreau,313,1.5
1923,Cy Perkins,579,1.5
1901,Bill Coughlin,548,1.5
1918,Howie Shanks,488,1.5
1892,Harry Stovey,487,1.5
1984,Dion James,431,1.5
1927,Buddy Myer,601,1.5
1888,Ed Hogan,329,1.5
1981,Larry Bowa,391,1.5
1958,Mickey Vernon,404,1.5
2007,Yuniesky Betancourt,559,1.5
1994,Jody Reed,465,1.5
2005,Juan Encarnacion,563,1.5
1953,Matt Batts,399,1.5
1989,Tom Foley,431,1.5
1884,Frank Hankinson,412,1.5
1917,Walter Holke,583,1.5
1966,Bill Freehan,544,1.5
1965,Billy Bryan,359,1.5
1899,Hugh Duffy,641,1.5
2017,Jordy Mercer,558,1.5
2000,Paul O'Neill,628,1.5
1885,Fred Mann,428,1.5
1972,Elliott Maddox,349,1.5
1916,Hugh High,451,1.5
1922,Patsy Gharrity,322,1.5
1916,George McBride,517,1.5
1930,Al Lopez,466,1.5
1999,Jose Vidro,531,1.5
1988,Tim Laudner,418,1.5
1890,Tony Mullane,331,1.5
2004,Barry Larkin,386,1.5
1947,Erv Dusak,383,1.5
2002,Jimmy Rollins,705,1.5
2013,Angel Pagan,305,1.5
1993,Wes Chamberlain,306,1.5
1982,George Wright,599,1.5
1894,Bill Lange,499,1.5
1959,Hobie Landrith,335,1.5
1985,Denny Walling,374,1.5
1972,Don Money,590,1.5
2013,Evan Gattis,382,1.5
1998,Todd Dunwoody,462,1.5
1891,Al Myers,592,1.5
1919,Clyde Milan,376,1.5
2009,Luis Castillo,580,1.5
1965,Bob Bailey,702,1.5
1957,Ray Jablonski,344,1.5
1939,Chet Laabs,374,1.5
2014,Colby Rasmus,376,1.5
1996,Kevin Elster,596,1.5
1964,Dick Bertell,395,1.5
1998,Quinton McCracken,675,1.5
1889,Fred Dunlap,499,1.5
1955,Hal Smith,466,1.5
1934,Fred Schulte,588,1.5
1970,Gene Alley,466,1.5
1916,Dick Hoblitzel,488,1.5
1962,Gary Geiger,543,1.5
1889,Jack Clements,340,1.5
2005,Ryan Klesko,520,1.5
2002,Carlos Guillen,528,1.5
2017,Michael Brantley,375,1.5
2007,Reggie Willits,518,1.5
2015,Alcides Escobar,662,1.5
2006,Pat Burrell,567,1.5
1976,Joe Torre,340,1.5
1982,Willie Upshaw,646,1.5
1931,Johnny Frederick,649,1.5
1906,Kitty Bransfield,556,1.5
1993,David Segui,519,1.5
1986,Reggie Jackson,517,1.5
2012,Andres Torres,434,1.5
1951,Don Mueller,493,1.5
1986,Ron Oester,586,1.5
2014,Martin Prado,573,1.5
1882,Tom Burns,370,1.5
1892,Lew Whistler,547,1.5
1998,Jose Valentin,497,1.5
1994,John Kruk,301,1.5
2000,Craig Biggio,466,1.5
1996,Al Martin,694,1.5
1974,Billy Williams,474,1.5
2012,Kendrys Morales,522,1.5
1918,Hy Myers,439,1.5
2011,Ben Revere,481,1.5
1902,John Farrell,621,1.5
1911,Amby McConnell,440,1.5
2018,Todd Frazier,472,1.5
1994,Todd Hundley,323,1.5
1945,Whitey Wietelmann,471,1.5
1928,Clyde Beck,552,1.5
1888,Ned Hanlon,478,1.5
2018,Amed Rosario,592,1.5
1998,Bret Boone,648,1.5
1928,Lefty O'Doul,390,1.5
1885,Bill Kuehne,428,1.5
2007,Ivan Rodriguez,515,1.5
2011,Orlando Hudson,454,1.5
1948,Pete Suder,593,1.5
1986,Donnie Hill,366,1.5
1891,Sam Wise,459,1.5
1985,Steve Garvey,699,1.5
1932,Ripper Collins,598,1.5
1960,Johnny Logan,537,1.5
1997,Eric Karros,700,1.5
1983,Charlie Moore,605,1.5
1883,Sadie Houck,425,1.5
1978,Richie Zisk,581,1.5
1940,Bennie Warren,331,1.5
1990,Pete Incaviglia,587,1.5
1983,Dann Bilardello,320,1.5
1993,Ozzie Guillen,486,1.5
1904,Dick Padden,520,1.5
2008,Adam Jones,514,1.5
1922,Howie Shanks,314,1.5
2015,Marcell Ozuna,494,1.5
1961,Maury Wills,687,1.5
1995,Luis Sojo,370,1.5
1994,Greg Vaughn,423,1.5
1964,Andre Rodgers,508,1.5
1978,Joe Morgan,533,1.5
1992,Jeff Kent,343,1.5
1890,Wilbert Robinson,399,1.5
1962,Zoilo Versalles,624,1.5
1991,Kevin Elster,394,1.5
2012,Seth Smith,441,1.5
1999,Roger Cedeno,525,1.5
2001,Damion Easley,658,1.5
1880,Jack Burdock,364,1.5
1965,Jose Cardenal,550,1.5
1988,Randy Ready,380,1.5
1938,Jo-Jo Moore,531,1.5
1996,Scott Stahoviak,469,1.5
1968,Jerry May,467,1.5
1992,Chad Curtis,507,1.5
1973,Orlando Cepeda,608,1.5
1943,George McQuinn,516,1.5
1999,Tony Phillips,484,1.5
1939,Chuck Klein,361,1.5
2004,Nomar Garciaparra,354,1.5
1966,Tony Taylor,473,1.5
1916,Eddie Foster,685,1.5
1941,Rick Ferrell,457,1.5
1954,Toby Atwell,340,1.5
2014,Matt Joyce,493,1.5
1991,Alex Cole,452,1.5
1971,Tony Taylor,314,1.5
1990,Ruben Sierra,666,1.5
1892,Tom Brown,712,1.5
1913,Fred Merkle,617,1.5
1947,Del Ennis,581,1.5
1973,Tommy Helms,584,1.5
1982,Al Bumbry,618,1.5
1988,Dave Valle,322,1.5
1889,Chief Zimmer,304,1.5
2000,Andres Galarraga,548,1.5
1904,Sherry Magee,387,1.5
1943,Mickey Livingston,411,1.5
1938,Gee Walker,481,1.5
2017,Addison Russell,385,1.5
2013,Didi Gregorius,404,1.5
2014,Ruben Tejada,419,1.5
2017,Derek Dietrich,464,1.5
1987,Pete Incaviglia,563,1.5
1880,Bill Crowley,373,1.5
1915,Clyde Engle,551,1.5
1928,Val Picinich,358,1.5
1926,Jack Smith,360,1.5
2009,Adam Jones,519,1.5
1947,Catfish Metkovich,515,1.5
1947,Peanuts Lowrey,493,1.5
2009,Melky Cabrera,540,1.5
1950,Bobby Adams,394,1.5
1886,Tom Poorman,390,1.5
1971,Bob Watson,514,1.5
1991,Ozzie Guillen,555,1.5
1967,Ron Hunt,442,1.5
1994,Mike Kingery,346,1.5
1936,Hank Leiber,384,1.5
2002,Chris Gomez,498,1.5
1911,Jack Graney,620,1.5
1967,Dal Maxvill,530,1.5
1997,Doug Glanville,510,1.5
1972,Buddy Bell,505,1.5
1976,Dick Allen,339,1.5
1937,Mel Almada,604,1.5
1953,Willard Marshall,400,1.5
1896,Tommy Tucker,526,1.5
1973,Denis Menke,322,1.5
2014,Jarrod Saltalamacchia,435,1.5
1985,Lonnie Smith,613,1.5
1986,Rob Deer,546,1.5
1935,Lyn Lary,562,1.5
1955,Dave Philley,465,1.5
2002,Damian Miller,340,1.5
1935,Johnny Moore,654,1.5
1916,Chick Gandil,601,1.5
2015,Steven Souza Jr.,426,1.5
1979,Rafael Landestoy,319,1.5
1993,Willie McGee,519,1.5
2007,Brad Hawpe,606,1.5
1991,Shawon Dunston,534,1.5
1983,Bill Buckner,665,1.5
1978,Marc Hill,406,1.5
1978,Butch Wynegar,522,1.5
1974,Del Unser,516,1.5
1950,Bob Dillinger,626,1.5
1987,Sid Bream,572,1.5
1897,Harry Davis,475,1.5
1974,Ron Fairly,342,1.5
1914,Mike Mowrey,318,1.5
2004,Kevin Millar,588,1.5
1927,Heinie Sand,622,1.5
1884,Bill Hawes,354,1.5
1901,Bill Keister,472,1.5
1881,Jim O'Rourke,375,1.5
1997,Henry Rodriguez,523,1.5
2001,Joe McEwing,319,1.5
1998,Jose Cruz,413,1.5
1927,Sam Rice,651,1.5
1956,Luis Aparicio,583,1.5
1994,Delino DeShields,376,1.5
1950,Danny Murtaugh,416,1.5
2005,Dmitri Young,509,1.5
2014,Chris Owings,332,1.5
1919,Greasy Neale,585,1.5
1941,Red Rolfe,621,1.5
1994,Mike Macfarlane,370,1.5
1990,Tony Pena,540,1.5
1914,Zinn Beck,504,1.5
1990,Hubie Brooks,618,1.5
1977,Butch Hobson,637,1.5
2015,Marwin Gonzalez,370,1.5
2001,Kenny Lofton,576,1.5
1977,Derrel Thomas,568,1.5
1997,Shawn Green,471,1.5
1933,Sparky Adams,631,1.5
1890,Charlie Duffee,418,1.5
2012,Mike Aviles,546,1.5
1990,Jose Oquendo,553,1.5
2009,Adam Kennedy,587,1.5
1962,Chuck Hiller,680,1.5
2006,Miguel Olivo,452,1.5
1939,Leo Durocher,421,1.5
1994,Manny Ramirez,336,1.5
1986,Jim Sundberg,491,1.5
1967,Eddie Mathews,511,1.5
1889,Jimmy Wolf,580,1.5
1980,Leon Roberts,427,1.5
1979,Mickey Rivers,570,1.5
2004,Michael Tucker,547,1.5
1890,Eddie Burke,626,1.5
1989,Pete O'Brien,646,1.5
1918,Truck Hannah,312,1.5
1913,Tommy Clarke,374,1.5
1938,Billy Werber,599,1.5
1983,Bob Kearney,328,1.5
1992,Tony Fernandez,694,1.5
1979,Tom Paciorek,349,1.5
1996,Cecil Fielder,688,1.5
1941,Gee Walker,472,1.5
1915,Chief Meyers,323,1.5
1886,Charley Bassett,378,1.5
1972,Dave Rader,494,1.5
1956,Dale Long,582,1.5
2016,Jordy Mercer,584,1.5
2006,Gregg Zaun,339,1.5
1889,Ned Hanlon,521,1.5
2010,Jorge Posada,451,1.5
2003,Scott Spiezio,581,1.5
2018,Ian Happ,462,1.5
1891,Chief Zimmer,477,1.5
2018,Mike Zunino,405,1.5
1939,Pinky May,531,1.5
1990,Joe Oliver,409,1.5
1979,Kiko Garcia,457,1.5
1988,Gary Redus,392,1.5
1881,Ned Hanlon,327,1.5
1897,Jim Connor,318,1.5
1929,Dick Bartell,674,1.5
1897,Bill Everitt,426,1.5
1899,George Magoon,475,1.5
2005,Jeromy Burnitz,671,1.5
1964,Larry Brown,367,1.5
2005,Toby Hall,463,1.5
1957,Bill Virdon,605,1.5
1997,Jose Valentin,546,1.5
1995,Moises Alou,386,1.5
2005,Justin Morneau,543,1.5
2008,Reed Johnson,374,1.5
1982,George Hendrick,569,1.5
1973,Chris Speier,617,1.5
1943,Bert Haas,356,1.5
2011,Jonathan Lucroy,468,1.5
1997,Bip Roberts,468,1.5
1944,Ken O'Dea,310,1.5
1932,Shanty Hogan,529,1.5
1968,Julian Javier,553,1.5
1933,Joe Stripp,579,1.5
1880,Curry Foley,340,1.5
1985,Larry Herndon,479,1.5
1996,Mark Lemke,562,1.5
1995,Derrick May,348,1.5
2013,Eric Sogard,410,1.5
2015,Yadier Molina,530,1.5
1941,Jim Tabor,539,1.5
1961,Steve Boros,485,1.5
1956,Alvin Dark,664,1.5
1981,Steve Garvey,461,1.5
1883,Jack Gleason,418,1.5
1996,Rich Amaral,369,1.5
2015,Johnny Giavotella,502,1.4
1987,Robby Thompson,474,1.4
2015,Jake Lamb,390,1.4
1932,Dick Porter,700,1.4
1907,Fred Odwell,314,1.4
1955,Roy Sievers,591,1.4
1998,Jeffrey Hammonds,306,1.4
1927,Hod Ford,456,1.4
1933,Frankie Crosetti,513,1.4
1987,Gary Carter,573,1.4
1933,Pete Fox,565,1.4
1939,Larry Rosenthal,387,1.4
1945,Jimmy Wasdell,540,1.4
1957,Harry Simpson,440,1.4
1884,Bill Phillips,482,1.4
1990,John Olerud,421,1.4
1991,Harold Reynolds,728,1.4
1964,Willie Stargell,442,1.4
1988,Milt Thompson,423,1.4
1895,Duke Farrell,357,1.4
1980,Chris Speier,447,1.4
2003,Ryan Klesko,474,1.4
1980,Graig Nettles,369,1.4
1951,Del Rice,419,1.4
1989,Dave Martinez,396,1.4
1990,Wally Backman,361,1.4
1982,Mike Easler,526,1.4
1977,Mike Cubbage,464,1.4
1939,Al Lopez,463,1.4
1976,Dave Collins,413,1.4
1912,Alex McCarthy,450,1.4
1929,Lance Richbourg,616,1.4
1907,Charley O'Leary,519,1.4
