Season,Name,PA,WAR
1968,Bill Freehan,635,7
2004,Todd Helton,683,7
1993,Chris Hoiles,503,7
1967,Harmon Killebrew,689,7
1994,Frank Thomas,517,7
1967,Al Kaline,550,7
1960,Ernie Banks,678,7
1960,Hank Aaron,664,7
1957,Nellie Fox,718,7
1907,Ty Cobb,646,7
1949,Eddie Joost,682,7
1965,Zoilo Versalles,728,7
2016,Corey Seager,687,7
1968,Willie McCovey,608,7
1983,Dale Murphy,687,7
1914,George Burns,669,7
1884,Orator Shaffer,497,7
1930,Kiki Cuyler,741,7
1911,Honus Wagner,558,7
1976,George Brett,705,7
1931,Joe Cronin,700,7
1902,Ed Delahanty,539,7
1980,Willie Wilson,745,7
2005,Derrek Lee,691,7
1993,Kenny Lofton,657,7
1915,Gavvy Cravath,621,7
2010,Joey Votto,648,7
1956,Willie Mays,650,6.9
1886,Dave Orr,593,6.9
1986,Cal Ripken,707,6.9
1963,Bob Allison,626,6.9
1999,Andruw Jones,679,6.9
1984,Lloyd Moseby,688,6.9
1927,Harry Heilmann,596,6.9
1928,Heinie Manush,697,6.9
1903,Bill Bradley,587,6.9
1971,Joe Torre,707,6.9
1996,Brady Anderson,687,6.9
1923,Joe Sewell,682,6.9
2003,Carlos Beltran,602,6.9
1952,Larry Doby,611,6.9
1991,Ken Griffey Jr.,633,6.9
1950,Al Rosen,668,6.9
1900,Honus Wagner,580,6.9
1975,Toby Harrah,632,6.9
1946,Johnny Pesky,703,6.9
1960,Mickey Mantle,644,6.9
1941,Dolph Camilli,641,6.9
1983,Mike Schmidt,669,6.9
1980,Keith Hernandez,690,6.9
1950,Phil Rizzuto,735,6.9
1966,Hank Aaron,688,6.9
1998,Brian Jordan,617,6.9
1947,Joe Gordon,626,6.9
1989,Kevin Mitchell,640,6.9
2008,Mark Teixeira,685,6.9
2000,Bobby Abreu,680,6.9
2002,Brian Giles,644,6.9
1924,Zack Wheat,624,6.9
1922,Dave Bancroft,745,6.9
2007,Chipper Jones,600,6.9
1998,Rafael Palmeiro,709,6.9
1907,Sherry Magee,568,6.9
